name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvert · Ferme à 01:00",Casablanca,0661625110,+212661625110,https://thepremiumbarbershop.ma/,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.213634,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Ouvert · Ferme à 20:30",Casablanca,0522940650,0522940650,https://the99experience.com/,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214194,google_maps
Barber Shop Star Club,"Salon de coiffure · 16 Bd Abdellatif Ben Kaddour
Ouvert · Ferme à 01:00",Casablanca,0606061214,+212606061214,https://myresa.ma/barberstarclub,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214292,google_maps
The First Barbershop maarif,"Barbier · 8 Rue Abou Abbas Sebti
Ouvert · Ferme à 23:00",Casablanca,0669619593,+212669619593,https://tr.ee/jQ_XQSbfut,4.8,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214312,google_maps
The BarberShop - Casablanca,"Barbier ·  · Angle Avenue Ahmed Charci Et Ali Abderrazzak Résidence Pavillon D’or
Ouvert · Ferme à 22:00",Casablanca,0673703737,+212673703737,https://www.kwipa.ma/casablanca/maarif/barber-shop-gentlemen-club,4.1,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214354,google_maps
The BARBER SHOP - CASABLANCA (STAR),"Barbier · 5 Rue Abou Zaid Addadoussi
Ouvert · Ferme à 22:00",Casablanca,0675104721,+212675104721,https://barberstarclub101.ma/reservation.php,4.8,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214670,google_maps
Barber shop casablanca COUPE KING ️ Barber shop Casablanca oulfa.The barbershop casablanca.La meilleure BarberShop,"Barbier · N, Sidi abderrahim quartier oulfa Rue 36 GH6
Ouvert · Ferme à 00:00",Casablanca,0713222324,+212713222324,https://instagram.com/coupe_king_casablanca?igshid=YmMyMTA2M2Y=,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214699,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvert · Ferme à 22:00",Casablanca,0691994002,+212691994002,,4.8,,,,80,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214725,google_maps
Zero to one barbershop,"Salon de coiffure · 5 Av. Hassan Souktani
Ouvert · Ferme à 22:00",Casablanca,0673150040,+212673150040,,4.9,,,,80,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214738,google_maps
Fade O’clock,"Barbier · 88Rue des Écoles
Ouvert · Ferme à 21:30",Casablanca,061021293385,+21261021293385,https://fadeoclock.ma/,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214749,google_maps
Barber lounge by Anwar,"Barbier · Rue Taha Hussein
Ouvert · Ferme à 21:30",Casablanca,0520020305,0520020305,https://instagram.com/anwar_vip_barber_?igshid=658uvp0r8mpz,4.8,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214760,google_maps
Sabri stars barbershop,"Salon de coiffure ·  · Lot Hasnaa, Magasin A, N° 76 Rue Ennaim
Ouvert · Ferme à 23:30",Casablanca,0520567714,0520567714,,4.8,,,,80,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214771,google_maps
L'artiste Barbershop,"Barbier · Rue Abou El Hassan Es-Séghir
Ouvert · Ferme à 22:00",Casablanca,0661305794,+212661305794,https://www.lartiste-barbershop.com/lartiste-barbershop-maarif,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.214781,google_maps
Barber Lounge Maarif (by Anwar),"Barbier · 23 Rue Zaid Bnou Rifaa
Ouvert · Ferme à 21:30",Casablanca,0520112270,0520112270,https://instagram.com/anwar_vip_barber_?igshid=658uvp0r8mpz,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.215053,google_maps
The House Elite barber,"Barbier · num 13, résidence living garden, Rue Abou Taour
Ouvert · Ferme à 22:00",Casablanca,0669610183,+212669610183,https://www.saloonix.com/s/the-house-elite-barber,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.215072,google_maps
The barbershop-Casablanca,"Barbier ·  · etg m6, 4 rue charaf eddine ibn mata
Ouvert · Ferme à 23:00",Casablanca,+212614938989,+212614938989,http://wa.me/+212614938989,4.5,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.215085,google_maps
Barbershop Yaqoub,"Barbier · Av. Abdelhamid Ben Badis
Ouvert · Ferme à 22:00",Casablanca,0666355549,+212666355549,,4.9,,,,80,Barbershop,OPERATIONAL,2026-06-29T13:42:22.215115,google_maps
The big boss barbershop Casablanca,"Barbier ·  · Rue Ennahas Annahoui
Ouvert · Ferme à 00:00",Casablanca,0612995923,+212612995923,https://r-thebigboss.netlify.app/,4.5,,,,90,Barbershop,OPERATIONAL,2026-06-29T13:42:22.215133,google_maps
Marbella Barber,"Barbier · 63 Boulevard Bir Anzarane, Casablanca 20000
Ouvert · Ferme à 21:00",Casablanca,0522231617,0522231617,,4.5,,,,80,Barbershop,OPERATIONAL,2026-06-29T13:42:22.215250,google_maps
